cosine,dice,jaccard,braycurtis,WER,CER
{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.043639426682542004},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.956360573317457},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.956360573317457},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.956360573317457},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 48.200423429781225},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 15.977330278548173}
{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1688': 0.09529991180630801},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1688': 0.9047000881936911},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1688': 0.9047000881936911},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1688': 0.9047000881936911},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1688': 62.17360621030346},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1688': 24.972868684432655}
{'/home/marine/Documents/HTR/tecquel/HYP/Mcfrenchv3_1688': 0.12358529512117201},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfrenchv3_1688': 0.8764147048788271},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfrenchv3_1688': 0.8764147048788271},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfrenchv3_1688': 0.8764147048788271},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfrenchv3_1688': 66.19618913196895},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfrenchv3_1688': 27.312191004461596}
{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1763-1773': 0.07486037704493201},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1763-1773': 0.925139622955067},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1763-1773': 0.925139622955067},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1763-1773': 0.925139622955067},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1763-1773': 68.83051907442152},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1763-1773': 23.39730233578243}
{'/home/marine/Documents/HTR/tecquel/HYP/McFrench_1763-1773': 0.07446871577096001},{'/home/marine/Documents/HTR/tecquel/HYP/McFrench_1763-1773': 0.9255312842290391},{'/home/marine/Documents/HTR/tecquel/HYP/McFrench_1763-1773': 0.9255312842290391},{'/home/marine/Documents/HTR/tecquel/HYP/McFrench_1763-1773': 0.9255312842290391},{'/home/marine/Documents/HTR/tecquel/HYP/McFrench_1763-1773': 61.951219512195124},{'/home/marine/Documents/HTR/tecquel/HYP/McFrench_1763-1773': 22.750301568154402}
{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1763-1773': 0.079489767686997},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1763-1773': 0.9205102323130021},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1763-1773': 0.9205102323130021},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1763-1773': 0.9205102323130021},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1763-1773': 72.39524702939337},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv5_1763-1773': 27.910955148590855}
{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv6_1763-1773': 0.09897116226313},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv6_1763-1773': 0.901028837736869},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv6_1763-1773': 0.901028837736869},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv6_1763-1773': 0.901028837736869},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv6_1763-1773': 75.53470919324577},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv6_1763-1773': 29.516394341484812}
{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1763-1773': 0.06580982606259},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1763-1773': 0.9341901739374091},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1763-1773': 0.9341901739374091},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1763-1773': 0.9341901739374091},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1763-1773': 72.10756722951845},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1763-1773': 29.47033665972146}
{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv8_1688': 0.044424293750966},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv8_1688': 0.9555757062490331},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv8_1688': 0.9555757062490331},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv8_1688': 0.9555757062490331},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv8_1688': 48.12985179957657},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv8_1688': 16.0135053659713}
{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.043639426682542004},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.956360573317457},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.956360573317457},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 0.956360573317457},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 48.200423429781225},{'/home/marine/Documents/HTR/tecquel/HYP/RCF/RCFv7_1688': 15.977330278548173}
