cosine,dice,jaccard,braycurtis,WER,CER
{'Models_transcriptions/Mcfondue_1681-1683': 0.12465460322884701},{'Models_transcriptions/Mcfondue_1681-1683': 0.8753453967711521},{'Models_transcriptions/Mcfondue_1681-1683': 0.8753453967711521},{'Models_transcriptions/Mcfondue_1681-1683': 0.8753453967711521},{'Models_transcriptions/Mcfondue_1681-1683': 80.15050404657106},{'Models_transcriptions/Mcfondue_1681-1683': 39.11844397135668}
{'Models_transcriptions/Mcfondue_1691': 0.136738590518756},{'Models_transcriptions/Mcfondue_1691': 0.8632614094812431},{'Models_transcriptions/Mcfondue_1691': 0.8632614094812431},{'Models_transcriptions/Mcfondue_1691': 0.8632614094812431},{'Models_transcriptions/Mcfondue_1691': 75.90738423028786},{'Models_transcriptions/Mcfondue_1691': 30.413082722735478}
{'Models_transcriptions/Mcfondue_1784': 0.040609806092507},{'Models_transcriptions/Mcfondue_1784': 0.959390193907492},{'Models_transcriptions/Mcfondue_1784': 0.959390193907492},{'Models_transcriptions/Mcfondue_1784': 0.959390193907492},{'Models_transcriptions/Mcfondue_1784': 38.53536226871866},{'Models_transcriptions/Mcfondue_1784': 9.93744818750471}
{'Models_transcriptions/Mcfondue_1681-1784': 0.061887857301307005},{'Models_transcriptions/Mcfondue_1681-1784': 0.938112142698692},{'Models_transcriptions/Mcfondue_1681-1784': 0.938112142698692},{'Models_transcriptions/Mcfondue_1681-1784': 0.938112142698692},{'Models_transcriptions/Mcfondue_1681-1784': 60.80436855335009},{'Models_transcriptions/Mcfondue_1681-1784': 23.51752324206177}
{'Models_transcriptions/Mcfondue_1756-1758': 0.5706463709667321},{'Models_transcriptions/Mcfondue_1756-1758': 0.429353629033267},{'Models_transcriptions/Mcfondue_1756-1758': 0.429353629033267},{'Models_transcriptions/Mcfondue_1756-1758': 0.429353629033267},{'Models_transcriptions/Mcfondue_1756-1758': 94.7331705615626},{'Models_transcriptions/Mcfondue_1756-1758': 35.132839985442196}
{'Models_transcriptions/Mcfondue_1700': 0.17935148395605702},{'Models_transcriptions/Mcfondue_1700': 0.8206485160439421},{'Models_transcriptions/Mcfondue_1700': 0.8206485160439421},{'Models_transcriptions/Mcfondue_1700': 0.8206485160439421},{'Models_transcriptions/Mcfondue_1700': 78.80676758682101},{'Models_transcriptions/Mcfondue_1700': 31.88532982302179}
{'Models_transcriptions/Mcfondue_1693_1700': 0.10996224661957901},{'Models_transcriptions/Mcfondue_1693_1700': 0.89003775338042},{'Models_transcriptions/Mcfondue_1693_1700': 0.89003775338042},{'Models_transcriptions/Mcfondue_1693_1700': 0.89003775338042},{'Models_transcriptions/Mcfondue_1693_1700': 76.21822033898304},{'Models_transcriptions/Mcfondue_1693_1700': 29.225648990459284}
{'Models_transcriptions/RCFv1_1693_1700': 0.09450125206586801},{'Models_transcriptions/RCFv1_1693_1700': 0.9054987479341321},{'Models_transcriptions/RCFv1_1693_1700': 0.9054987479341321},{'Models_transcriptions/RCFv1_1693_1700': 0.9054987479341321},{'Models_transcriptions/RCFv1_1693_1700': 69.57097457627118},{'Models_transcriptions/RCFv1_1693_1700': 26.647437319724872}
{'Models_transcriptions/Mcfondue_1757': 0.032872772930050004},{'Models_transcriptions/Mcfondue_1757': 0.967127227069949},{'Models_transcriptions/Mcfondue_1757': 0.967127227069949},{'Models_transcriptions/Mcfondue_1757': 0.967127227069949},{'Models_transcriptions/Mcfondue_1757': 38.22051433638782},{'Models_transcriptions/Mcfondue_1757': 9.233085628248094}
{'Models_transcriptions/RCFv1_1757': 0.019180545192010002},{'Models_transcriptions/RCFv1_1757': 0.980819454807989},{'Models_transcriptions/RCFv1_1757': 0.980819454807989},{'Models_transcriptions/RCFv1_1757': 0.980819454807989},{'Models_transcriptions/RCFv1_1757': 34.05261602128289},{'Models_transcriptions/RCFv1_1757': 8.140269075720045}
{'Models_transcriptions/RCFv2_1693_1700': 0.11996970252750401},{'Models_transcriptions/RCFv2_1693_1700': 0.8800302974724951},{'Models_transcriptions/RCFv2_1693_1700': 0.8800302974724951},{'Models_transcriptions/RCFv2_1693_1700': 0.8800302974724951},{'Models_transcriptions/RCFv2_1693_1700': 74.65572033898304},{'Models_transcriptions/RCFv2_1693_1700': 31.479920124251166}
{'Models_transcriptions/RCFv2_1757': 0.024735393436602002},{'Models_transcriptions/RCFv2_1757': 0.9752646065633971},{'Models_transcriptions/RCFv2_1757': 0.9752646065633971},{'Models_transcriptions/RCFv2_1757': 0.9752646065633971},{'Models_transcriptions/RCFv2_1757': 41.41294708838309},{'Models_transcriptions/RCFv2_1757': 11.282723784545146}
